area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_clean,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,2.0,1056.0,12.8473999,77.6724452,0.4003537691158839,0.6695947877797833,0.0713470995046223
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2.0,3.0,62.0,3.0,1440.0,12.9055682,77.5455438,0.2274673373571319,0.1519599724939662,0.1694410044511424
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2.0,1.0,51.0,2.0,1200.0,12.8701259,77.5820178,0.2901253561555079,1.2046900818961757,0.1255652912582252
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,2.0,1170.0,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,,204.0,4.0,2732.0,12.9591061,77.6595688,1.2876293687156375,0.0536053412771556,0.0209077160408284
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,,600.0,4.0,3300.0,12.9945063,77.554298,0.9169000511960156,0.0937969906036531,0.1635631137513544
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3.0,1.0,63.25,3.0,1310.0,12.9552572,77.6984163,0.6719239127411085,0.190113011289509,0.2419124009198896
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2.0,2.0,70.0,3.0,1800.0,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,4.0,2785.0,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,2.0,1000.0,12.9119693,77.5882043,,,
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2.0,2.0,40.0,2.0,1100.0,12.8565317,77.5877237,0.2086520160197649,0.2313756564423799,0.1272264508838482
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,3.0,2250.0,12.9694037,77.5870258,0.513245507673521,0.1753433216729026,0.0443651517984582
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,2.0,1175.0,12.9467026,77.5300705,0.7109790178070446,0.4682574972882378,0.0059360569856146
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,3.0,1540.0,12.932582,77.5162034,0.9759304408956934,0.1594975898310746,0.5154087829957453
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0,3.0,2770.0,12.9778951,77.5164792,1.6170914410500894,0.5265660189821747,2.378736265459641
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2.0,2.0,48.0,2.0,1100.0,13.0454837,77.6266492,0.4577959008435539,0.3706294143495851,0.0626729797096005
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1.0,1.0,15.0,1.0,600.0,12.9176571,77.4837568,0.4503921372896056,0.3716515779443523,0.1561736051709742
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,380.0,4.0,2800.0,13.0522499,77.6316152,0.4103630847737383,0.244729083276761,0.0479116314175673
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3.0,1.0,103.0,3.0,1767.0,12.9320495,77.6842915,,,
Super built-up  Area,18-Nov,Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,1.0,510.0,13.0522499,77.6316152,0.4103630847737383,0.244729083276761,0.0479116314175673
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3.0,2.0,56.0,3.0,1250.0,12.9075288,77.6350312,0.1031293833747597,0.4718491677692643,0.7086037511511709
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,2.0,660.0,12.8487599,77.648253,0.5497991746984375,0.4916467010007277,0.7279636356232001
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3.0,2.0,81.0,3.0,1610.0,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,2.0,1151.0,12.9558969,77.7405826,1.069675812437609,0.1070240573362368,0.1305269766110204
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,3.0,1025.0,12.8487599,77.648253,0.5497991746984375,0.4916467010007277,0.7279636356232001
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,4.0,2475.0,13.1006982,77.5963454,1.1101413730029868,0.0830813646669616,0.1725955228275265
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,3.0,1760.0,13.0382184,77.5919,0.7863823345646925,0.1236876912510814,0.3075766141575576
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,3.0,1693.0,12.932582,77.5162034,0.9759304408956934,0.1594975898310746,0.5154087829957453
