location,lat,lon
1 Giri Nagar,,
1 Immadihalli,,
12th cross srinivas nagar banshankari 3rd stage,,
1A Block Koramangala,12.9408685,77.617338
1Hoysalanagar,,
1st Block BEL Layout,13.0703462,77.5555305
1st Block HBR Layout,13.0379805,77.6388488
1st Block HRBR Layout,13.0100548,77.6431061
1st Block Jayanagar,12.9182966,77.5741528
1st Block Koramangala,12.9248167,77.6342492
1st Phase JP Nagar,12.9114349,77.5992958
1st Stage Domlur,12.9679718,77.6367953
1st Stage Indira Nagar,12.9776551,77.6364842
1st Stage Radha Krishna Layout,,
2 Bedroom Furnished Farm House in Kolar Road,,
2Electronic City Phase II,,
2nd Block Bel Layout,13.0729675,77.554357
2nd Block Hrbr Layout,13.0203163,77.6325425
2nd Block Jayanagar,12.9381478,77.5828269
2nd Block Koramangala,12.9256161,77.6368877
2nd Phase JP Nagar,12.9107357,77.5829631
2nd Phase Judicial Layout,12.8653002,77.5372382
2nd Stage Arekere Mico Layout,12.8905542,77.5941914
2nd Stage Nagarbhavi,12.9512353,77.519054
"2nd phase jp nagar, jp nagar",12.9104062,77.5951099
3rd Block Banashankari,12.9278196,77.556621
3rd Block HBR Layout,13.0314059,77.6355596
3rd Block Hrbr Layout,13.0255533,77.6313982
3rd Block Jayanagar,12.933863,77.5830336
3rd Block Koramangala,12.9357366,77.624081
3rd Phase Iti Layout,,
3rd Phase JP Nagar,12.9114349,77.5992958
3rd Stage Raja Rajeshwari Nagar,,
4 Bedroom Farm House in Bagalur,,
4th Block HBR Layout,13.0340406,77.6309958
4th Block Jayanagar,12.9262342,77.5834146
4th Block Koramangala,12.9299843,77.6305001
4th Phase JP Nagar,12.9046372,77.5976425
4th T block Jayanagar,12.9302534,77.5903874
5 Bedroom Farm House in Lakshmipura,,
5th Block Hbr Layout,13.0374664,77.628799
5th Block Jayanagar,12.9200207,77.5811039
5th Phase JP Nagar,12.9010682,77.5859397
5th Stage BEML Layout,13.1501641,77.6688989
5th block Koramangala,12.935464,77.616304
6th Block Jayanagar,12.9292731,77.5824229
