location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km,location_price
Electronic City Phase II,12.8473999,77.6724452,0.4003537691158839,0.6695947877797833,0.0713470995046223,0.030000000000000002
Uttarahalli,12.9055682,77.5455438,0.2274673373571319,0.1519599724939662,0.1694410044511424,0.04
Kothanur,12.8701259,77.5820178,0.2901253561555079,1.2046900818961757,0.1255652912582252,0.04913793103448276
Whitefield,12.9957428,77.7579489,1.1144729321489393,0.1704817262594944,0.0133501385811505,0.05645497311827957
Old Airport Road,12.9591061,77.6595688,1.2876293687156375,0.0536053412771556,0.0209077160408284,0.07254189498770633
Rajaji Nagar,12.9945063,77.554298,0.9169000511960156,0.0937969906036531,0.1635631137513544,0.13519222644697929
Marathahalli,12.9552572,77.6984163,0.6719239127411085,0.190113011289509,0.2419124009198896,0.05575771956466717
7th Phase JP Nagar,12.9119693,77.5882043,0.6719239127411085,0.27244649864545,0.1725955228275265,0.06505811773528308
Gottigere,12.8565317,77.5877237,0.2086520160197649,0.2313756564423799,0.1272264508838482,0.04217030158159343
Sarjapur,12.9694037,77.5870258,0.513245507673521,0.1753433216729026,0.0443651517984582,0.039831223628691986
Mysore Road,12.9467026,77.5300705,0.7109790178070446,0.4682574972882378,0.0059360569856146,0.04799253731343284
Raja Rajeshwari Nagar,12.932582,77.5162034,0.9759304408956934,0.1594975898310746,0.5154087829957453,0.041119360365505425
Ramakrishnappa Layout,12.9778951,77.5164792,1.6170914410500894,0.5265660189821747,2.378736265459641,0.11371841155234658
Manayata Tech Park,13.0454837,77.6266492,0.4577959008435539,0.3706294143495851,0.0626729797096005,0.04363636363636364
Thanisandra,13.0522499,77.6316152,0.4103630847737383,0.244729083276761,0.0479116314175673,0.05706625390419857
Bellandur,12.9320495,77.6842915,0.6719239127411085,0.27244649864545,0.1725955228275265,0.05202312138728324
Mangammanapalya,12.9075288,77.6350312,0.1031293833747597,0.4718491677692643,0.7086037511511709,0.05671077504725898
Electronic City,12.8487599,77.648253,0.5497991746984375,0.4916467010007277,0.7279636356232001,0.04500422650960748
Ramagondanahalli,12.9558969,77.7405826,1.069675812437609,0.1070240573362368,0.1305269766110204,0.04477611940298507
Yelahanka,13.1006982,77.5963454,1.1101413730029868,0.0830813646669616,0.1725955228275265,0.05074990943122812
Hebbal,13.0382184,77.5919,0.7863823345646925,0.1236876912510814,0.3075766141575576,0.07096774193548387
Kasturi Nagar,13.0015277,77.6512362,0.5432022852901733,0.7088322872416989,0.6359952869577619,0.05994550408719346
Kanakpura Road,12.8856913,77.5526564,0.9963963823531752,0.359091638722918,0.0973468545381832,0.05
Electronics City Phase 1,12.8401734,77.6595099,1.2771586723358812,0.2949821891085972,0.0976455973631153,0.0478037493150808
Kundalahalli,12.977594,77.7155586,0.884085752213232,0.567895273741003,0.0604285081728594,0.07431572533564651
Chikkalasandra,12.9121916,77.5476337,0.4139509772357904,0.2664041276046013,0.2722963169900159,0.04349767441860465
Murugeshpalya,12.9589406,77.6555917,0.8910043150551071,0.1378728066984868,0.0639733688907676,0.04932249322493225
Sarjapur  Road,12.9244884,77.6451418,0.5500515300656763,0.3337970172861007,0.2288940070894062,0.05733944954128441
Ganga Nagar,13.0232471,77.5883569,0.888328840491725,0.2225098875426148,0.2863167340778583,0.0650887573964497
Doddathoguru,12.8505644,77.6466948,0.674474501860267,0.4616742612433213,0.8315226258095125,0.035326086956521736
KR Puram,13.007516,77.695935,1.2063438008359872,0.0725318111449869,0.1011381963899148,0.04285714285714286
Himagiri Meadows,12.8963003,77.5894113,0.0919719520662207,0.5396536648685539,0.3989533862685349,0.12962962962962962
Adarsh Nagar,13.0305452,77.609433,0.6719239127411085,0.27244649864545,0.1725955228275265,0.03937007874015748
Begur Road,12.8742536,77.6260073,0.0564740136609505,0.4261364523608231,0.0426900671248846,0.037
Devanahalli,13.142344,77.7339688,0.6719239127411085,1.284534894489931,0.5108250171089255,0.04957893110415594
Govindaraja Nagar Ward,12.9755632,77.5367385,0.4601225816958452,0.0625211857120955,0.4858837236921025,0.09793956043956044
Tharabanahalli,13.101684,77.4798441,0.6934241797040022,2.2134300271851246,0.1009169660817737,0.05400430570505921
Varthur,12.9406508,77.746988,0.062338097155049,0.0742096047391458,0.0563215672950399,0.04433239821063007
Bommanahalli,12.9034581,77.6230028,0.6719239127411085,0.27244649864545,0.1725955228275265,0.0447495894909688
Gunjur,12.9209772,77.7361016,2.539901700176744,0.1502491067810663,0.0432678343082523,0.040034698390909784
Hegde Nagar,13.0720352,77.6333905,1.382944725422289,0.2177405617129972,0.0355851745103119,0.06673672921142565
Haralur Road,12.9018012,77.6641767,1.3909299035710845,0.8326963261355745,1.3074632901104353,0.04979919678714859
Hennur Road,13.0351224,77.631944,0.2765531953436611,0.2961596190679827,0.3357653297815484,0.05853658536585366
Kalena Agrahara,12.8658068,77.5911918,0.5611288741900337,0.8962946840072035,0.0698589335179441,0.050827814569536424
Cholanayakanahalli,13.0364498,77.5975272,0.4207851795189184,0.6466700111719517,0.0386375919669187,0.06987179487179487
ISRO Layout,12.8974283,77.5573828,0.4088363045715394,0.7429662978498007,0.1866650183045283,0.06
Garudachar Palya,12.9899098,77.7011259,1.739069668768504,0.3322321050967139,0.4419202723307703,0.04591304347826087
EPIP Zone,12.9781922,77.7246451,0.0445328967272574,0.2561666460342068,0.1543015947869913,0.06804536357571714
Dasanapura,12.7467724,77.7742876,2.8042632384941397,1.5804499098115483,2.7686573650580377,0.051597051597051594
Kasavanhalli,12.9047595,77.6759172,2.2843970189080567,0.2078463463142163,0.0136086158689195,0.05782060785767235
Sanjay nagar,12.9578658,77.6958748,0.7629447133998302,0.3149495935342058,0.1928261321293142,0.07954545454545456
Mysore Highway,12.8822917,77.4479257,2.488785686641193,2.151307104242227,0.3685974848532299,0.04827586206896552
Domlur,12.9624669,77.6381958,0.4041152176117952,0.262058660005068,0.1086592570255002,0.08333333333333333
Kengeri,12.9176571,77.4837568,0.4503921372896056,0.3716515779443523,0.1561736051709742,0.04223540946028984
T Dasarahalli,13.0450201,77.5076896,2.286667141615597,0.1682002609558339,0.5043141849617998,0.10625000000000001
Yeshwanthpur,13.0176937,77.5555009,0.3738653299832751,0.4786746457239244,0.1939580095475588,0.055251315783549665
Chandapura,12.8009043,77.7114908,2.2049248881111088,0.129175824605253,0.2517187885669928,0.027004878048780486
Green View Layout,13.0052377,77.6492182,0.1056793183169299,0.5798244880367653,0.1804435876702554,0.040594059405940595
Shantiniketan Layout,12.8824524,77.6024627,0.2041962902497417,0.5226700664503133,0.5527872448547392,0.052123552123552123
Peenya,13.0330515,77.5332233,0.6206590321161664,0.9324745827687104,0.0043561736232869,0.06756756756756757
Nagarbhavi,12.9512353,77.519054,0.7881468673794932,0.5196799955806761,0.1790219239819533,0.0761904761904762
Jalahalli West,13.045979,77.5222447,1.2618800609677154,0.8208589125456504,0.750648859658692,0.0496
Byatarayanapura,13.068322,77.591006,0.6390503863790468,0.5229787545111656,0.2904150118814682,0.0719706259905481
