label,rmse,mae,mape,r2,condition,rmse_improvement_vs_baseline
Baseline,54.81547669066744,27.72212506133957,25.613267099799863,0.6543412484562205,baseline,0.0
Linear Regression,83.80244307156312,36.475544333158865,32.49069638344656,0.19210573355452532,property_only,-52.8809893316696
Ridge,83.79650835331461,36.47442273764093,32.49068824227803,0.19222015635408662,property_only,-52.87016261154089
Lasso,82.00610038398155,36.19162754643539,32.476100978052806,0.2263696704300302,property_only,-49.60391724175852
Linear Regression,82.61234963235518,35.681677109878834,31.74590337835873,0.21488890382936066,plus_location,-50.7098991377015
Ridge,82.60678295681035,35.680695318743226,31.745871903304675,0.21499470669082066,plus_location,-50.69974383872229
Lasso,81.0035935337666,35.53125988922986,31.777563038531042,0.2451689820744909,plus_location,-47.77504169284694
Linear Regression,71.75191884668921,31.39295783880543,27.810536448576695,0.40774572227144745,plus_location_encoded,-30.89719031651743
Ridge,71.74423069813335,31.39118268833903,27.810323853889507,0.4078726344154092,plus_location_encoded,-30.883164809452634
Lasso,69.52655440978774,30.976560794851146,27.72722802786914,0.4439132066873892,plus_location_encoded,-26.837452864156
Linear Regression,70.04832982013556,30.699732133500927,27.73017547992857,0.4355353668946572,plus_location_interaction,-27.789328943410574
Ridge,70.03976590959404,30.697532201314562,27.729130131040463,0.43567337815451457,plus_location_interaction,-27.773705781744297
Lasso,69.52657670368248,30.97656332732421,27.72723346421863,0.4439128500655909,plus_location_interaction,-26.83749353495939
